Date,EUR/USD Close,USD/CHF Close,USD/CAD Close,EUR/JPY Close,AUD/USD Close,CHF/JPY Close,NZD/USD Close
1999-01-01,1.1729,1.3741,1.534,133.27,0.6081,82.7,0
1999-01-04,1.1825,1.3671,1.5268,132.44,0.621,81.93,0
1999-01-05,1.1776,1.371,1.5148,130.91,0.6221,81.09,0
1999-01-06,1.16,1.3952,1.5104,131.09,0.6299,81,0
1999-01-07,1.1713,1.3779,1.5127,129.94,0.6369,80.52,0
1999-01-08,1.1595,1.3917,1.5124,131.05,0.6347,79.69,0
1999-01-11,1.1491,1.402,1.5059,124.8,0.6402,77.47,0
1999-01-12,1.1551,1.3886,1.5133,129.93,0.6383,81,0
1999-01-13,1.1653,1.3668,1.52,131.86,0.6336,82.79,0
1999-01-14,1.1709,1.3574,1.5342,132.82,0.6313,83.56,0
1999-01-15,1.159,1.3793,1.5281,132.12,0.635,82.65,0
1999-01-18,1.1605,1.379,1.527,132.55,0.634,82.95,0
1999-01-19,1.161,1.375,1.5304,131.78,0.638,82.55,0
1999-01-20,1.1553,1.3901,1.5217,130.39,0.6391,81.19,0
1999-01-21,1.16,1.384,1.5187,131.82,0.6425,82.11,0
1999-01-22,1.1587,1.3843,1.5186,132.86,0.6316,82.83,0
1999-01-25,1.1555,1.3867,1.5176,131.65,0.6305,82.16,0
1999-01-26,1.1561,1.3893,1.5199,131.74,0.6286,82.02,0
1999-01-27,1.1432,1.4106,1.5203,132.29,0.6288,82.03,0
1999-01-28,1.1421,1.4103,1.5184,132.93,0.6263,82.53,0
1999-01-29,1.1367,1.4141,1.5105,132.31,0.6301,82.32,0
1999-02-01,1.1312,1.4199,1.5089,130.19,0.6367,81.04,0
1999-02-02,1.1348,1.4129,1.5146,127.15,0.6389,79.31,0
1999-02-03,1.1319,1.4149,1.5129,127.71,0.6416,79.74,0
1999-02-04,1.1335,1.4143,1.4929,127.35,0.649,79.44,0
1999-02-05,1.1265,1.4214,1.4893,127.55,0.6503,79.66,0
1999-02-08,1.1325,1.415,1.4909,129.68,0.6512,80.93,0
1999-02-09,1.1289,1.4208,1.4958,129.12,0.6454,80.5,0
1999-02-10,1.1345,1.4059,1.4891,129.69,0.6461,81.31,0
1999-02-11,1.1233,1.4269,1.4933,128.74,0.6471,80.3,0
1999-02-12,1.128,1.416,1.4929,129.15,0.6455,80.86,0
1999-02-15,1.123,1.422,1.4935,129.65,0.6465,81.2,0
1999-02-16,1.1201,1.4254,1.495,133.05,0.636,83.33,0
1999-02-17,1.1237,1.4226,1.4955,133.84,0.6345,83.72,0
1999-02-18,1.1203,1.4274,1.487,134.23,0.6352,83.94,0
1999-02-19,1.1063,1.4465,1.4884,133.95,0.6405,83.71,0
1999-02-22,1.1036,1.4483,1.496,133.39,0.6402,83.46,0
1999-02-23,1.1005,1.448,1.4962,133.06,0.6409,83.5,0
1999-02-24,1.0986,1.4484,1.4974,133.77,0.6321,84.07,0
1999-02-25,1.1044,1.4385,1.5096,132.13,0.6254,83.17,0
1999-02-26,1.1016,1.4468,1.5102,131.15,0.6181,82.29,0
1999-03-01,1.0886,1.4629,1.5222,130.35,0.6192,81.85,0
1999-03-02,1.0918,1.4577,1.5204,131.4,0.622,82.56,0
