,LIFFE_RS,CME_RBS,CME_RRS,ICE_RSS,CME_RUS,CME_SS,CME_SES,ICE_SFS,CME_SGS,CME_SIS,CME_SMS,CME_SSIS,LIFFE_TS,ICE_TS,CME_TCS,SGX_TFS,ICE_TFMS,CME_TIOS,CME_TRS,CME_TZ6S,CME_UAS,CME_UBS,CME_UNS,CME_UVS,CME_UXS,LIFFE_WS,CME_WS,CME_WCCS,SHFE_WRS,CME_WSS,ICE_YS,CME_YCS,CME_YKS,CME_YWS,CME_Z1S,SHFE_ZNS,CME_0DS,CME_0FS,CME_1NS,CME_1RS,SGX_3MFS,CME_5ZS,CME_71S,CME_7HS,CME_7QS,CME_8IS,CME_8ZS,CME_9FS,CME_ABYS,ICE_AFRS,SHFE_AGS,SHFE_ALS,ICE_ATWS,SHFE_AUS,ICE_BS,CME_B0S,CME_BBS,CME_BKS,CME_BOS,ICE_BPBS,CME_BZS,LIFFE_CS,CME_CS,ICE_CS,CME_C0S,CME_CBS,ICE_CCS,ICE_CERS,CME_CLS,CME_CPOS,CME_CSS,CME_CSCS,ICE_CTS,CME_CUS,SHFE_CUS,CME_CYS,CME_DAS,CME_DCS,CME_DKS,ICE_DPBS,ICE_DWS,CME_DYS,LIFFE_EBMS,LIFFE_ECOS,CME_EHS,CME_ENS,ICE_ERUS,CME_FCS,SGX_FEFS,EUREX_FEO1S,EUREX_FSMIS,ICE_GS,LIFFE_GS,CME_GCS,CME_GES,ICE_GERS,LIFFE_HS,CME_HGS,CME_HOS,CME_HOBS,CME_HPS,CME_JMS,ICE_KCS,CME_KSS,CME_KWS,LIFFE_LS,CME_LBS,CME_LCS,CME_LNS,CME_LYS,ICE_MS,CME_MBNS,CME_MES,CME_MEOS,CME_MFS,CME_MFFS,,LIFFE_RV,CME_RBV,CME_RRV,ICE_RSV,CME_RUV,CME_SV,CME_SEV,ICE_SFV,CME_SGV,CME_SIV,CME_SMV,CME_SSIV,LIFFE_TV,ICE_TV,CME_TCV,SGX_TFV,ICE_TFMV,CME_TIOV,CME_TRV,CME_TZ6V,CME_UAV,CME_UBV,CME_UNV,CME_UVV,CME_UXV,LIFFE_WV,CME_WV,CME_WCCV,SHFE_WRV,CME_WSV,ICE_YV,CME_YCV,CME_YKV,CME_YWV,CME_Z1V,SHFE_ZNV,CME_0DV,CME_0FV,CME_1NV,CME_1RV,SGX_3MFV,CME_5ZV,CME_71V,CME_7HV,CME_7QV,CME_8IV,CME_8ZV,CME_9FV,CME_ABYV,ICE_AFRV,SHFE_AGV,SHFE_ALV,ICE_ATWV,SHFE_AUV,ICE_BV,CME_B0V,CME_BBV,CME_BKV,CME_BOV,ICE_BPBV,CME_BZV,LIFFE_CV,CME_CV,ICE_CV,CME_C0V,CME_CBV,ICE_CCV,ICE_CERV,CME_CLV,CME_CPOV,CME_CSV,CME_CSCV,ICE_CTV,CME_CUV,SHFE_CUV,CME_CYV,CME_DAV,CME_DCV,CME_DKV,ICE_DPBV,ICE_DWV,CME_DYV,LIFFE_EBMV,LIFFE_ECOV,CME_EHV,CME_ENV,ICE_ERUV,CME_FCV,SGX_FEFV,EUREX_FEO1V,EUREX_FSMIV,ICE_GV,LIFFE_GV,CME_GCV,CME_GEV,ICE_GERV,LIFFE_HV,CME_HGV,CME_HOV,CME_HOBV,CME_HPV,CME_JMV,ICE_KCV,CME_KSV,CME_KWV,LIFFE_LV,CME_LBV,CME_LCV,CME_LNV,CME_LYV,ICE_MV,CME_MBNV,CME_MEV,CME_MEOV,CME_MFV,CME_MFFV
5/1/2019,127.61,2.0642,10.255,432.3,15410,839.5,424.371,53.82,83.292,14.645,296,78.29,161.45,63.6,-0.266,134.8,14.056,93.24,-0.066,-0.366,434.217,71.26,563.163,411.188,25.25,340.1,425,-12.282,4338,63.6,40.26,360,839.5,425,592.675,21890,0,0,0,0.62798,370.91,-0.186,1.327,684.125,1.30363,0.76036,-0.235,-0.162,0,0,0,14175,58.35,281,72.8,0.64202,72.04,-7.72,27.38,40.89,72.79,1918,360,51.38,0.22711,226.69,2314,0.22,63.6,507,63.63,1.6468,75.91,1.3205,48880,71.59,15.96,70.95,0,0,0,39.23,183.25,370,1.312,-8.316,0.01,0,0,0,9706,639,103.65,0,0,0,113.56,2.803,2.0942,14.961,2.62,27.61,89.8,82.576,389.25,99.145,334.4,113.875,0,0,0,0.13542,-0.085,684.125,66.05,71.6,0,88149,76513,45,0,0,9435,0,0,0,565,4192,0,0,27288,0,331,7180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,31334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26472,30,4,21056,0,0,0,4330,0,0,2336,8030,0,0,0,0,0,671560,0,330,0,1,0,36686,0,0,0,0,0,0,0,13078,642,11,0,0,1874,5871,0,33331,50717,0,70,0,0,0,1254,55807,0,1697,0,2,0,855,55747,134,30855,760,0,7505,0,0,0,0,0
4/30/2019,127.32,2.1232,10.275,437.2,15450,841.25,424.371,53.86,83.292,14.9,296,78.29,161.2,63.91,-0.279,137.1,14.389,93.24,-0.062,-0.323,434.217,71.26,563.163,411.188,25.25,340.3,418.5,-12.45,4327,63.91,40.26,353.25,841.25,418.5,592.675,21755,0,0,0,0.62813,370.75,-0.183,1.3245,684.125,1.3036,0.75961,-0.235,-0.166,0,0,0,14170,59.05,280.7,72.04,0.64199,72.04,-7.72,27.58,41.3,72.8,1936,353.25,52.4,0.22744,227,2368,0.22,63.91,507,63.87,1.646,75.98,1.3205,48840,71.59,15.96,70.95,0,0,0,39.125,184,375.75,1.32,-8.316,0.02,141.375,74.05,100.36,9674,638,103.62,0,0,0,113.49,2.9015,2.0812,14.961,2.575,34.5,91.85,82.576,386.25,99.145,341.2,123.75,87.1,2.0102,32.59,0.13542,-0.0852,684.125,66.04,68.58,0,214495,7120,92,212,0,11000,0,0,0,690,10162,0,105,29342,0,717,8530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,61,1,0,37896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,28368,102,4,125807,0,0,0,6681,0,941,6070,13784,0,0,15,26,0,739813,0,0,5,3,0,40584,0,25,0,7,6,0,1,14047,2029,32,0,0,1787,6008,0,23235,74905,0,114,0,0,0,1442,3340,0,122,0,126,0,1565,65943,289,332,534,0,7255,0,0,0,0,0
4/29/2019,127.67,2.0828,10.315,438.1,15475,847.5,424.247,54,83.305,14.844,297.2,78.3,164.75,63.5,-0.266,138.4,14.486,93.17,-0.062,-0.372,434.043,71.25,562.834,411.226,25.25,338.2,426.75,-12.45,4261,63.5,40.26,352,847.5,426.75,593,21695,0,0,0,0.6281,358.5,-0.184,1.3253,683.631,1.30333,0.75807,-0.257,-0.15,0,0,0,14180,58.85,280.7,72.15,0.6422,72.04,-7.72,27.88,41.68,72.04,1908,352,52.62,0.22729,227.575,2392,0.22,63.5,509.75,63.85,1.646,76.13,1.32,48850,71.57,15.97,70.93,0,0,0,39,183.5,370,1.336,-8.329,0.02,141.6,74.22,100.355,9643,630.5,103.66,0,0,0,113.63,2.895,2.0549,14.93,2.593,34.5,91.35,82.578,389.75,99.145,340,124.775,84.3,2.0101,33.66,0.13554,-0.0845,683.631,66.04,68.58,0,111667,23859,840,4330,0,78776,0,0,0,18270,33615,0,0,27876,0,890,7355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,849,172,0,43236,0,0,0,0,0,0,0,0,0,0,0,0,0,14,146,23248,61,6,219867,0,0,0,37117,0,16414,3911,243299,0,0,73,0,0,647323,20,50,2,26,0,58202,0,3,0,6,15,0,0,12649,5442,72,0,0,2367,6199,0,28132,55994,0,568,0,0,0,20945,17501,0,11,0,31,0,15859,31950,241,933,789,0,6695,0,0,0,0,0
4/28/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/27/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/26/2019,127.75,2.1006,10.195,439.5,15395,853.75,424.298,53.8,83.258,15.002,299.9,77.55,166,63.3,-0.263,138.7,14.423,93.16,-0.062,-0.368,434.024,71.27,562.917,411.21,25.3,338.7,435,-12.45,4254,63.3,40.26,351.25,853.75,435,593.2,21635,0,0,0,0.63021,362.37,-0.183,1.3259,684.079,1.30446,0.75961,-0.29,-0.145,0,0,0,14210,59.4,279.05,74.35,0.64396,72.15,-7.75,27.52,40.3,72.15,1876,351.25,51.56,0.22607,227.525,2344,0.23,63.3,511.25,63.83,1.646,76.75,1.32,49190,71.58,15.97,70.958,0,0,0,39,182,365.25,1.342,-8.329,0.02,143.4,74.55,100.365,9599,623.25,103.68,0,0,0,113.68,2.97,2.0512,14.908,2.58,30.63,92.7,82.517,399.75,99.15,349.5,124.55,84.775,2.0091,33.62,0.13565,-0.0849,684.079,66.01,68.6,0,133857,26201,683,8933,0,116774,0,0,0,0,48662,0,45,49052,0,2113,14835,0,0,0,0,0,0,0,0,0,0,0,1812,0,0,254,376,82,0,47466,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,41018,38,2,298397,0,0,0,53011,0,32481,4559,150231,228,0,0,0,0,992963,0,0,2,2,0,55542,0,18,0,1,5,0,1,8840,3108,108,0,0,2656,7966,0,34018,55855,0,0,0,0,0,101,19310,0,25,0,33,0,18815,41117,242,1472,355,0,11015,0,0,0,0,0
4/25/2019,127.62,2.1321,10.16,442.4,15415,859.25,425.273,53.8,83.603,14.861,306,75,164,65.21,-0.263,140.5,14.535,93.14,0,0,0,71.32,565.261,413.6,25.4,338.7,434.75,-12.15,4236,65.21,40.26,347.5,859.25,434.75,593.5,21625,0,0,0,0.63247,353.37,-0.183,1.3221,684.73,1.31143,0,0,0,0,0,0,14135,59.35,279.85,74.57,0.64658,74.35,0,0,0,0,0,0,0,0,0,2294,0.23,65.21,521.5,64.11,1.647,0,0,0,71.88,15.98,71.133,15.72,42.75,278,39,181.5,363,0,0,0,143.95,74.32,100.355,9575,646.25,103.65,0,0,0,113.61,2.8775,2.0981,14.885,2.514,29.44,92.05,82.855,404.25,99.145,342.8,124.05,87,2.009,33.9,0,0,0,0,0,0,126012,34461,507,0,0,0,0,0,0,0,0,0,66,44879,0,2857,9825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,267,62,0,62852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,266548,0,1500,0,31816,0,57839,3088,202983,0,0,2,1,0,597786,78,0,33,21,0,70866,0,81,0,0,0,0,0,0,0,158,0,44,2989,8273,0,39887,49828,10,28,0,0,0,103,21014,0,3904,0,165,0,19271,55310,499,2985,592,0,12745,0,0,0,0,0
4/24/2019,127.45,2.1285,10.16,439.1,15470,855.25,423.829,54,83.557,14.898,300.4,75,161.75,65.89,-0.254,132.6,14.264,92.95,-0.062,-0.357,435.133,71.55,565.105,411.736,25.7,332.4,432.25,-11.75,4266,65.89,40.26,346.75,855.25,432.25,593.875,21860,0,0,0,0.63092,336.37,-0.174,1.3197,685.383,1.31369,0.76247,-0.292,-0.148,0,0,0,14175,59.35,279.85,74.51,0.6447,74.57,-7.77,27.64,40.1,74.35,1838,347.5,54.42,0.22839,227.525,2260,0.23,65.89,525.5,64.23,1.642,76.97,1.3175,49000,71.92,15.91,71.204,15.76,43.18,278,39,182.5,363.75,1.316,-8.371,0.02,143.55,72.95,100.365,9567,644.25,103.63,0,0,0,113.54,2.9175,2.0987,14.848,2.462,29.65,90.45,82.78,404.5,99.15,328.5,126.775,87.85,2.0161,34.36,0.13601,-0.0833,684.73,66.29,69.25,0,155691,39670,1434,9441,0,107964,0,0,0,1,53192,0,70,54628,0,1579,9940,0,0,0,0,0,0,0,0,0,0,0,3386,0,0,314,400,70,0,35450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,36896,0,0,300856,0,0,0,34067,0,43316,3896,204672,0,0,15,44,0,674616,94,286,32,43,0,57732,0,188,0,0,5,0,0,19950,5186,169,0,0,4417,7229,0,37846,37371,0,518,0,0,0,97,19809,0,3747,0,157,0,18512,93212,672,4096,551,0,16450,10,0,0,0,0
4/23/2019,126.84,2.1316,10.225,437.8,15660,862,422.835,54,83.683,14.773,301,75,161,66.3,-0.253,0,14.422,93.29,-0.051,-0.321,433.677,71.56,566.349,410.331,25.7,329.8,438.75,-10.6,4297,66.3,40.26,351.25,862,438.75,594.475,21885,0,0,0,0.62354,325.53,-0.174,1.3263,685.909,1.30932,0.76387,-0.296,-0.147,0,0,0,14115,59.65,280.2,74.04,0.63792,74.51,-7.69,27.92,40.26,74.57,1829,346.75,54.66,0.22884,227.4,2304,0.23,66.3,524.75,64.33,1.642,75.77,1.3175,49150,71.92,15.92,71.099,15.81,43.83,278,39,183.5,363.5,1.303,-8.429,0.02,146.525,72.27,100.365,9479,648.25,103.57,0,0,0,113.32,2.8985,2.118,15.05,2.455,29.58,91.5,82.927,414.5,99.145,314.9,128.325,89.175,2.0202,33.87,0.13625,-0.084,685.383,65.99,69.15,0,131453,45483,586,11288,0,66415,0,0,0,0,49186,0,310,63376,0,0,6720,0,0,0,0,0,0,0,0,0,0,0,2040,0,0,164,284,70,0,62258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,53902,0,4,297584,0,2000,0,58828,0,49914,3517,162035,22,0,4,63,0,693974,0,0,41,2666,325,62006,0,94,0,3,1,0,1,23020,7579,129,0,0,3728,8082,0,46212,48061,0,206,0,0,0,79,21718,0,4760,0,175,0,17228,72803,664,2415,553,0,14370,0,0,0,0,0
4/22/2019,127.14,2.1298,10.45,443.1,15630,877,419.655,53.56,83.584,14.957,302.5,73.75,163.35,65.55,-0.251,0,14.462,93.2,-0.051,-0.308,432.022,71.43,563.722,407.488,25.8,329.6,435.75,-10.6,4243,65.55,40.26,354.75,877,435.75,595.05,21760,0,0,0,0.61821,328.03,-0.172,1.3272,687.213,1.29807,0.75807,-0.282,-0.15,0,0,0,14030,59.4,280,71.97,0.63241,74.04,-7.59,28.06,40.98,74.51,1846,351.25,54.9,0.22792,227.4,2346,0.23,65.7,525,64.12,1.642,76.57,1.3225,49350,71.78,15.92,71.018,15.81,42.55,279,39,185,361.5,1.331,-8.28,0.02,149.625,71.03,100.365,9507,648.75,103.61,0,0,0,113.43,2.9065,2.104,15.017,2.524,29.44,91.1,82.857,411.75,99.155,323.6,128.5,87.825,2.016,34.34,0.13506,-0.0843,685.909,65.88,69.35,0,0,41209,590,12018,0,136241,0,0,0,0,57965,0,0,67704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2714,0,0,125,272,90,0,57882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,62804,0,4,241058,0,0,0,60818,0,47554,0,124723,0,0,1,3,0,22417,0,245,224,4241,830,49214,0,483,0,2,0,0,0,19168,5183,158,0,0,0,2472,0,39731,38353,0,147,0,0,0,19,24476,0,7795,0,583,0,11948,0,379,2434,635,0,0,0,0,0,0,0
