Date,Settle,Volume
5/1/2019,10.255,45
4/30/2019,10.275,92
4/29/2019,10.315,840
4/26/2019,10.195,683
4/25/2019,10.16,507
4/24/2019,10.16,1434
4/23/2019,10.225,586
4/22/2019,10.45,590
4/18/2019,10.425,295
4/17/2019,10.48,473
4/16/2019,10.515,580
4/15/2019,10.555,578
4/12/2019,10.46,748
4/11/2019,10.285,710
4/10/2019,10.235,668
4/9/2019,10.29,950
4/8/2019,10.42,643
4/5/2019,10.515,603
4/4/2019,10.55,1116
4/3/2019,10.67,471
4/2/2019,10.795,551
4/1/2019,10.86,334
3/29/2019,10.85,570
3/28/2019,10.905,616
3/27/2019,11.145,682
3/26/2019,11.26,886
3/25/2019,11.165,1038
3/22/2019,11.21,1076
3/21/2019,11.085,1025
3/20/2019,10.94,770
3/19/2019,10.78,225
3/18/2019,10.715,292
3/15/2019,10.725,139
3/14/2019,10.575,3
3/13/2019,10.595,0
3/12/2019,10.485,0
3/11/2019,10.47,2
3/8/2019,10.59,0
3/7/2019,10.54,10
3/6/2019,10.625,2
3/5/2019,10.475,1
3/4/2019,10.44,3
3/1/2019,10.285,23
2/28/2019,10.395,24
2/27/2019,10.285,526
2/26/2019,10.365,1095
2/25/2019,10.1,352
2/22/2019,10.19,508
2/21/2019,10.21,445
2/20/2019,10.035,624
2/19/2019,9.865,811
2/15/2019,9.995,1357
2/14/2019,10.185,867
2/13/2019,10.26,1075
2/12/2019,10.25,672
2/11/2019,10.27,749
2/8/2019,10.365,572
2/7/2019,10.5,527
2/6/2019,10.575,915
2/5/2019,10.735,380
2/4/2019,10.68,202
2/1/2019,10.65,470
1/31/2019,10.61,746
1/30/2019,10.63,452
1/29/2019,10.725,293
1/28/2019,10.72,246
1/25/2019,10.67,231
1/24/2019,10.675,267
1/23/2019,10.76,270
1/22/2019,10.65,270
1/18/2019,10.625,159
1/17/2019,10.5,152
1/16/2019,10.465,155
1/15/2019,10.38,433
1/14/2019,10.43,9
1/11/2019,10.53,9
1/10/2019,10.595,0
1/9/2019,10.55,0
1/8/2019,10.49,0
1/7/2019,10.405,0
1/4/2019,10.225,0
1/3/2019,10.17,226
1/2/2019,10.085,1
12/31/2018,10.095,20
12/28/2018,10.055,792
