Date,Close,Total Trade Quantity
2019-05-01,10.255,45
2019-04-30,10.275,92
2019-04-29,10.315,840
2019-04-26,10.195,683
2019-04-25,10.16,507
2019-04-24,10.16,1434
2019-04-23,10.225,586
2019-04-22,10.45,590
2019-04-18,10.425,295
2019-04-17,10.48,473
2019-04-16,10.515,580
2019-04-15,10.555,578
2019-04-12,10.46,748
2019-04-11,10.285,710
2019-04-10,10.235,668
2019-04-09,10.29,950
2019-04-08,10.42,643
2019-04-05,10.515,603
2019-04-04,10.55,1116
2019-04-03,10.67,471
2019-04-02,10.795,551
2019-04-01,10.86,334
2019-03-29,10.85,570
2019-03-28,10.905,616
2019-03-27,11.145,682
2019-03-26,11.26,886
2019-03-25,11.165,1038
2019-03-22,11.21,1076
2019-03-21,11.085,1025
2019-03-20,10.94,770
2019-03-19,10.78,225
2019-03-18,10.715,292
2019-03-15,10.725,139
2019-03-14,10.575,3
2019-03-13,10.595,0
2019-03-12,10.485,0
2019-03-11,10.47,2
2019-03-08,10.59,0
2019-03-07,10.54,10
2019-03-06,10.625,2
2019-03-05,10.475,1
2019-03-04,10.44,3
2019-03-01,10.285,23
2019-02-28,10.395,24
2019-02-27,10.285,526
2019-02-26,10.365,1095
2019-02-25,10.1,352
2019-02-22,10.19,508
2019-02-21,10.21,445
2019-02-20,10.035,624
2019-02-19,9.865,811
2019-02-15,9.995,1357
2019-02-14,10.185,867
2019-02-13,10.26,1075
2019-02-12,10.25,672
2019-02-11,10.27,749
2019-02-08,10.365,572
2019-02-07,10.5,527
2019-02-06,10.575,915
2019-02-05,10.735,380
2019-02-04,10.68,202
2019-02-01,10.65,470
2019-01-31,10.61,746
2019-01-30,10.63,452
2019-01-29,10.725,293
2019-01-28,10.72,246
2019-01-25,10.67,231
2019-01-24,10.675,267
2019-01-23,10.76,270
2019-01-22,10.65,270
2019-01-18,10.625,159
2019-01-17,10.5,152
2019-01-16,10.465,155
2019-01-15,10.38,433
2019-01-14,10.43,9
2019-01-11,10.53,9
2019-01-10,10.595,0
2019-01-09,10.55,0
2019-01-08,10.49,0
2019-01-07,10.405,0
2019-01-04,10.225,0
2019-01-03,10.17,226
2019-01-02,10.085,1
2018-12-31,10.095,20
2018-12-28,10.055,792
2018-12-27,10.125,269
2018-12-26,10.31,403
2018-12-24,10.42,357
2018-12-21,10.55,313
2018-12-20,10.525,440
2018-12-19,10.5,648
2018-12-18,10.53,669
2018-12-17,10.555,480
2018-12-14,10.575,1283
2018-12-13,10.45,448
2018-12-12,10.55,892
2018-12-11,10.645,609
2018-12-10,10.665,891
2018-12-07,10.77,272
2018-12-06,10.83,412
2018-12-05,10.82,377
2018-12-04,10.975,477
2018-12-03,10.98,943
2018-11-30,10.885,494
2018-11-29,10.915,550
2018-11-28,10.82,218
2018-11-27,10.845,186
2018-11-26,10.75,162
2018-11-23,10.76,136
2018-11-21,10.785,82
2018-11-20,10.735,215
2018-11-19,10.77,162
2018-11-16,10.89,316
2018-11-15,10.74,360
2018-11-14,10.9,3
2018-11-13,10.875,6
2018-11-12,10.645,0
2018-11-09,10.595,6
2018-11-08,10.615,0
2018-11-07,10.7,1
2018-11-06,10.655,0
2018-11-05,10.755,0
2018-11-02,10.7,1
2018-11-01,10.635,11
2018-10-31,10.58,34
2018-10-30,10.44,312
2018-10-29,10.475,582
2018-10-26,10.73,784
2018-10-25,10.795,373
2018-10-24,10.855,249
2018-10-23,10.82,288
2018-10-22,10.835,240
2018-10-19,11.035,351
2018-10-18,10.96,779
2018-10-17,10.96,596
2018-10-16,10.885,998
2018-10-15,10.75,549
2018-10-12,10.685,714
2018-10-11,10.685,1224
2018-10-10,10.935,1022
2018-10-09,10.95,607
2018-10-08,10.875,530
2018-10-05,10.82,1205
2018-10-04,10.78,1316
2018-10-03,10.49,661
2018-10-02,10.265,597
2018-10-01,10.135,975
2018-09-28,9.78,558
2018-09-27,9.785,520
2018-09-26,9.785,689
2018-09-25,9.875,348
2018-09-24,9.83,396
2018-09-21,9.88,461
2018-09-20,9.875,753
2018-09-19,9.795,1100
2018-09-18,10.045,669
2018-09-17,10.3,482
2018-09-14,10.665,0
2018-09-13,10.665,0
2018-09-12,10.645,0
2018-09-11,10.645,0
2018-09-10,10.815,0
2018-09-07,10.845,0
2018-09-06,10.775,9
2018-09-05,10.705,231
2018-09-04,10.85,170
2018-08-31,10.83,193
2018-08-30,10.67,323
2018-08-29,10.81,303
2018-08-28,10.595,402
2018-08-27,10.51,521
2018-08-24,10.785,325
2018-08-23,10.8,311
2018-08-22,10.8,950
2018-08-21,10.54,581
2018-08-20,10.265,532
2018-08-17,10.35,299
2018-08-16,10.46,688
2018-08-15,10.325,1184
2018-08-14,10.195,1110
2018-08-13,10.305,774
2018-08-10,10.55,717
2018-08-09,10.74,933
2018-08-08,10.65,1089
2018-08-07,10.91,918
2018-08-06,11.275,418
2018-08-03,11.495,352
2018-08-02,11.63,737
2018-08-01,11.875,444
2018-07-31,11.915,364
2018-07-30,11.955,396
2018-07-27,12.005,261
2018-07-26,12,208
2018-07-25,12.045,148
2018-07-24,12.055,429
2018-07-23,11.99,252
2018-07-20,11.93,199
2018-07-19,11.865,200
2018-07-18,11.825,287
2018-07-17,12.01,277
2018-07-16,12.045,337
2018-07-13,11.815,26
2018-07-12,11.835,0
2018-07-11,11.81,0
2018-07-10,11.81,0
2018-07-09,12.15,11
2018-07-06,12.115,20
2018-07-05,12.235,0
2018-07-03,12,0
2018-07-02,11.795,71
2018-06-29,11.61,301
2018-06-28,11.42,184
2018-06-27,11.7,351
2018-06-26,12.505,520
2018-06-25,12.47,725
2018-06-22,12.6,650
2018-06-21,12.695,829
2018-06-20,12.65,570
2018-06-19,12.21,1318
2018-06-18,12.745,1209
2018-06-15,12.36,682
2018-06-14,12.305,854
2018-06-13,12.09,676
2018-06-12,11.925,808
2018-06-11,11.64,763
2018-06-08,11.18,196
2018-06-07,11.215,907
2018-06-06,11.555,1265
2018-06-05,10.945,942
2018-06-04,11.215,791
2018-06-01,11.445,733
2018-05-31,11.56,651
2018-05-30,11.66,785
2018-05-29,11.46,493
2018-05-25,11.565,944
2018-05-24,11.56,1374
2018-05-23,11.92,1157
2018-05-22,12.33,495
2018-05-21,12.23,464
2018-05-18,12.325,641
2018-05-17,12.5,212
2018-05-16,12.55,296
2018-05-15,12.485,344
2018-05-14,12.325,4
2018-05-11,12.485,10
2018-05-10,12.355,20
2018-05-09,12.45,12
2018-05-08,12.525,21
2018-05-07,12.53,14
2018-05-04,12.68,20
2018-05-03,12.745,0
2018-05-02,12.755,17
2018-05-01,12.635,2
2018-04-30,12.785,142
2018-04-27,12.81,204
2018-04-26,12.71,883
2018-04-25,13.105,531
2018-04-24,13.13,565
2018-04-23,13.065,774
2018-04-20,12.99,637
