Date,Open,High,Low,Close,Volume,CME_RB1_FWpo
5/9/2019,1.9748,1.9838,1.9457,1.9754,71367,114534
5/8/2019,1.9493,1.9775,1.9264,1.975,86693,119390
5/7/2019,1.996,1.9995,1.9293,1.9487,84662,129289
5/6/2019,2.0237,2.0237,1.9811,1.9966,78755,133277
5/3/2019,2.0116,2.0412,2.0105,2.0265,72119,138861
5/2/2019,2.0652,2.0658,1.9956,2.0183,71908,142578
5/1/2019,2.0528,2.0823,2.0414,2.0642,76513,155547
4/30/2019,2.04094,2.08402,2.03226,2.07808,70403,122685
4/29/2019,2.06582,2.06978,2.04204,2.05076,54982,96028
4/26/2019,2.10872,2.1167,2.0433,2.07888,60105,73648
4/25/2019,2.11782,2.14364,2.11222,2.12132,43356,58510
4/24/2019,2.1132,2.1332,2.1015,2.1285,39670,45632
4/23/2019,2.1389,2.1404,2.111,2.1316,45483,50955
4/22/2019,2.0722,2.1489,2.071,2.1298,41209,59946
4/18/2019,2.0484,2.0743,2.0359,2.0722,56275,74514
4/17/2019,2.0386,2.0521,2.0318,2.0418,72785,81600
4/16/2019,2.015,2.0387,1.993,2.0317,55228,84774
4/15/2019,2.0296,2.03,2.0045,2.0118,64567,89492
4/12/2019,2.0361,2.0493,2.0243,2.037,65034,91956
4/11/2019,2.0624,2.0638,2.015,2.0309,82895,99008
4/10/2019,2.0105,2.0702,2.0105,2.0692,91535,108354
4/9/2019,1.9881,2.0155,1.986,1.999,86249,125066
4/8/2019,1.98,1.9908,1.9707,1.988,75769,134409
4/5/2019,1.9338,1.9743,1.9216,1.9687,89934,140907
4/4/2019,1.9506,1.9558,1.9301,1.9399,66029,143091
4/3/2019,1.9291,1.9527,1.9219,1.9512,88134,141192
4/2/2019,1.9027,1.9308,1.8934,1.9285,63830,142538
4/1/2019,1.8827,1.906,1.8786,1.8989,61527,147957
3/29/2019,1.87638,1.90514,1.86782,1.88512,59128,119840
3/28/2019,1.87582,1.88,1.82034,1.8703,61157,93684
3/27/2019,1.93346,1.9365,1.87358,1.88662,54133,72375
3/26/2019,1.92666,1.96926,1.92466,1.94576,38825,50227
3/25/2019,1.9259,1.9451,1.902,1.9379,28901,37180
3/22/2019,1.9275,1.9366,1.8951,1.9259,34188,45605
3/21/2019,1.9067,1.9329,1.9034,1.9203,37195,50929
3/20/2019,1.893,1.919,1.8787,1.9166,44288,55113
3/19/2019,1.8802,1.898,1.87,1.8931,36322,58895
3/18/2019,1.8535,1.8969,1.8455,1.8828,51014,63469
3/15/2019,1.848,1.8655,1.8218,1.8577,67242,69813
3/14/2019,1.873,1.8822,1.843,1.8495,75371,77886
3/13/2019,1.8222,1.8752,1.8203,1.8568,98207,93446
3/12/2019,1.8251,1.8397,1.8116,1.8155,66907,97504
3/11/2019,1.7976,1.8369,1.7976,1.826,75236,102457
3/8/2019,1.7944,1.8047,1.739,1.8017,105979,110435
3/7/2019,1.7845,1.816,1.7845,1.8054,74123,116944
3/6/2019,1.7604,1.7919,1.7524,1.789,84102,122036
3/5/2019,1.7474,1.7735,1.7387,1.7674,56321,128406
3/4/2019,1.7285,1.766,1.7285,1.749,58170,133043
3/1/2019,1.7521,1.772,1.7124,1.7303,63786,133259
2/28/2019,1.73052,1.74148,1.71456,1.7277,45554,108705
2/27/2019,1.68118,1.71402,1.67134,1.70996,51679,85214
2/26/2019,1.61232,1.65584,1.60318,1.6415,39980,68238
2/25/2019,1.62772,1.64642,1.5751,1.5769,29775,56296
2/22/2019,1.61,1.6263,1.6027,1.6112,31955,45593
2/21/2019,1.6,1.6188,1.5891,1.6144,42886,50583
2/20/2019,1.5643,1.601,1.5506,1.5981,30144,52594
2/19/2019,1.5728,1.5862,1.5532,1.5638,48987,66966
2/15/2019,1.511,1.5768,1.5075,1.5729,92634,83828
2/14/2019,1.4687,1.5142,1.4652,1.5085,78641,88045
2/13/2019,1.4331,1.4718,1.4285,1.4651,77965,96965
2/12/2019,1.4208,1.4703,1.4181,1.4272,70506,110544
2/11/2019,1.4416,1.454,1.4072,1.4192,68654,117720
2/8/2019,1.4248,1.4525,1.4051,1.4464,89704,116600
2/7/2019,1.4534,1.4583,1.3925,1.4258,89894,129317
2/6/2019,1.4241,1.462,1.398,1.4591,75622,134860
2/5/2019,1.4395,1.451,1.4109,1.4259,70685,136009
2/4/2019,1.4351,1.4871,1.4074,1.4323,81001,144566
2/1/2019,1.386,1.4398,1.3749,1.4369,71712,144131
1/31/2019,1.40882,1.42782,1.37032,1.37462,76085,121478
1/30/2019,1.36444,1.41918,1.35598,1.39448,65172,95030
1/29/2019,1.34446,1.38806,1.3327,1.35942,42259,74223
1/28/2019,1.38894,1.3932,1.32666,1.33684,39399,60186
1/25/2019,1.3891,1.4036,1.376,1.3894,20708,46766
1/24/2019,1.3834,1.3996,1.3738,1.3876,22453,54017
1/23/2019,1.4061,1.4135,1.3623,1.3857,27473,63085
1/22/2019,1.4435,1.4577,1.3907,1.4015,32498,70075
1/18/2019,1.4281,1.4677,1.4234,1.4528,48269,75526
1/17/2019,1.414,1.4362,1.3827,1.43,63358,81389
1/16/2019,1.4125,1.4244,1.3752,1.4159,74263,89057
1/15/2019,1.3693,1.4162,1.3693,1.4114,61600,96166
1/14/2019,1.408,1.4182,1.3605,1.3638,60862,102994
1/11/2019,1.4215,1.4468,1.3947,1.4007,65769,113582
1/10/2019,1.4265,1.44,1.4087,1.4307,61594,116090
1/9/2019,1.3617,1.4348,1.3616,1.4254,69819,118137
1/8/2019,1.3466,1.3722,1.3385,1.3626,71019,116415
1/7/2019,1.356,1.3945,1.3389,1.3408,74264,120856
1/4/2019,1.3364,1.3981,1.3293,1.3478,59757,126342
1/3/2019,1.316,1.3677,1.3016,1.3495,52559,134015
1/2/2019,1.3136,1.379,1.2685,1.3256,84334,133863
12/31/2018,1.30002,1.3482,1.28258,1.30642,30881,109419
12/28/2018,1.30876,1.3321,1.28304,1.31132,39245,86091
12/27/2018,1.33774,1.33958,1.28084,1.2964,36338,64713
12/26/2018,1.25868,1.3486,1.24186,1.3283,42515,51651
12/24/2018,1.3115,1.3292,1.2455,1.2488,15526,38355
12/21/2018,1.3349,1.3457,1.2936,1.3183,27730,48071
12/20/2018,1.37,1.3855,1.3201,1.3224,30141,54458
12/19/2018,1.3425,1.4063,1.3425,1.3863,35303,61891
12/18/2018,1.3953,1.4049,1.3388,1.3505,58166,67761
12/17/2018,1.4362,1.4575,1.3932,1.4104,51717,76610
12/14/2018,1.4801,1.4828,1.4263,1.4343,54659,87620
12/13/2018,1.4223,1.489,1.4084,1.4782,72609,93812
12/12/2018,1.45,1.4732,1.4153,1.4204,69625,106778
12/11/2018,1.4232,1.4566,1.4158,1.4398,64728,112824
12/10/2018,1.464,1.487,1.4141,1.4189,69921,124211
12/7/2018,1.441,1.5177,1.4115,1.4858,76821,131188
12/6/2018,1.4426,1.4517,1.3747,1.4334,74567,139019
12/5/2018,1.4256,1.491,1.4109,1.4456,53819,141399
12/4/2018,1.4392,1.4779,1.4215,1.4434,68869,148710
12/3/2018,1.4126,1.4781,1.4126,1.4314,70167,151295
11/30/2018,1.42742,1.44272,1.38856,1.40978,62785,126354
11/29/2018,1.3818,1.4505,1.3621,1.43982,53922,97842
