CBOE_VX1_FWd,CBOE_VX1_FWo,CBOE_VX1_FWh,CBOE_VX1_FWl,CBOE_VX1_FWs,CBOE_VX1_FWv,CBOE_VX1_FWpo,CME_US1_FWd,CME_US1_FWo,CME_US1_FWh,CME_US1_FWl,CME_US1_FWs,CME_US1_FWv,CME_US1_FWpo,CME_FV1_FWd,CME_FV1_FWo,CME_FV1_FWh,CME_FV1_FWl,CME_FV1_FWs,CME_FV1_FWv,CME_FV1_FWpo,CME_C1_FWd,CME_C1_FWo,CME_C1_FWh,CME_C1_FWl,CME_C1_FWs,CME_C1_FWv,CME_C1_FWpo,CME_RR1_FWd,CME_RR1_FWo,CME_RR1_FWh,CME_RR1_FWl,CME_RR1_FWs,CME_RR1_FWv,CME_RR1_FWpo,CME_BO1_FWd,CME_BO1_FWo,CME_BO1_FWh,CME_BO1_FWl,CME_BO1_FWs,CME_BO1_FWv,CME_BO1_FWpo,CME_S1_FWd,CME_S1_FWo,CME_S1_FWh,CME_S1_FWl,CME_S1_FWs,CME_S1_FWv,CME_S1_FWpo,CME_W1_FWd,CME_W1_FWo,CME_W1_FWh,CME_W1_FWl,CME_W1_FWs,CME_W1_FWv,CME_W1_FWpo,CME_AD1_FWd,CME_AD1_FWo,CME_AD1_FWh,CME_AD1_FWl,CME_AD1_FWs,CME_AD1_FWv,CME_AD1_FWpo,CME_BP1_FWd,CME_BP1_FWo,CME_BP1_FWh,CME_BP1_FWl,CME_BP1_FWs,CME_BP1_FWv,CME_BP1_FWpo,CME_CD1_FWd,CME_CD1_FWo,CME_CD1_FWh,CME_CD1_FWl,CME_CD1_FWs,CME_CD1_FWv,CME_CD1_FWpo,CME_JY1_FWd,CME_JY1_FWo,CME_JY1_FWh,CME_JY1_FWl,CME_JY1_FWs,CME_JY1_FWv,CME_JY1_FWpo,CME_LC1_FWd,CME_LC1_FWo,CME_LC1_FWh,CME_LC1_FWl,CME_LC1_FWs,CME_LC1_FWv,CME_LC1_FWpo,CME_MP1_FWd,CME_MP1_FWo,CME_MP1_FWh,CME_MP1_FWl,CME_MP1_FWs,CME_MP1_FWv,CME_MP1_FWpo,CME_LB1_FWd,CME_LB1_FWo,CME_LB1_FWh,CME_LB1_FWl,CME_LB1_FWs,CME_LB1_FWv,CME_LB1_FWpo,CME_SF1_FWd,CME_SF1_FWo,CME_SF1_FWh,CME_SF1_FWl,CME_SF1_FWs,CME_SF1_FWv,CME_SF1_FWpo,ICE_B1_FWd,ICE_B1_FWo,ICE_B1_FWh,ICE_B1_FWl,ICE_B1_FWs,ICE_B1_FWv,ICE_B1_FWpo,ICE_G1_FWd,ICE_G1_FWo,ICE_G1_FWh,ICE_G1_FWl,ICE_G1_FWs,ICE_G1_FWv,ICE_G1_FWpo,ICE_O1_FWd,ICE_O1_FWo,ICE_O1_FWh,ICE_O1_FWl,ICE_O1_FWs,ICE_O1_FWv,ICE_O1_FWpo,ICE_ATW1_FWd,ICE_ATW1_FWo,ICE_ATW1_FWh,ICE_ATW1_FWl,ICE_ATW1_FWs,ICE_ATW1_FWv,ICE_ATW1_FWpo,ICE_SB1_FWd,ICE_SB1_FWo,ICE_SB1_FWh,ICE_SB1_FWl,ICE_SB1_FWs,ICE_SB1_FWv,ICE_SB1_FWpo,ICE_M1_FWd,ICE_M1_FWo,ICE_M1_FWh,ICE_M1_FWl,ICE_M1_FWs,ICE_M1_FWv,ICE_M1_FWpo,ICE_T1_FWd,ICE_T1_FWo,ICE_T1_FWh,ICE_T1_FWl,ICE_T1_FWs,ICE_T1_FWv,ICE_T1_FWpo,CME_NG1_FWd,CME_NG1_FWo,CME_NG1_FWh,CME_NG1_FWl,CME_NG1_FWs,CME_NG1_FWv,CME_NG1_FWpo,CME_CL1_FWd,CME_CL1_FWo,CME_CL1_FWh,CME_CL1_FWl,CME_CL1_FWs,CME_CL1_FWv,CME_CL1_FWpo,CME_RB1_FWd,CME_RB1_FWo,CME_RB1_FWh,CME_RB1_FWl,CME_RB1_FWs,CME_RB1_FWv,CME_RB1_FWpo,CME_HO1_FWd,CME_HO1_FWo,CME_HO1_FWh,CME_HO1_FWl,CME_HO1_FWs,CME_HO1_FWv,CME_HO1_FWpo
5/9/2019,17.97,19.15,17.8,17.875,184974,161014,5/9/2019,148.15625,149.09375,148.125,148.6875,469719,963021,5/9/2019,115.5546875,115.90625,115.5546875,115.7265625,1029433,4511160,5/9/2019,362.5,363,352.5,353.25,256067,837168,5/9/2019,10.955,11.035,10.905,10.935,507,7355,5/9/2019,26.9,26.92,26.5,26.63,60282,245499,5/9/2019,826.25,826.5,806.5,812.75,127862,426139,5/9/2019,437.75,438,428,429.5,52450,281252,5/9/2019,0.6996,0.7004,0.697,0.7001,104037,158109,5/9/2019,1.3033,1.306,1.2992,1.3048,94068,151627,5/9/2019,0.74265,0.74365,0.74115,0.74345,79667,139780,5/9/2019,9111,9161,9109,9143,203486,199098,5/9/2019,110.875,112.25,110.875,111.95,38518,117652,5/9/2019,52110,52110,51450,51770,88536,268107,5/9/2019,350.7,360.4,347.2,358.5,363,2715,5/9/2019,0.9833,0.9912,0.9828,0.9888,34226,99446,5/9/2019,70.23,70.65,69.4,70.39,319462,461966,5/9/2019,635.5,635.75,625,629.5,125307,169795,5/9/2019,2.0568,2.0591,2.0216,2.0436,8115,5188,5/9/2019,63.1,63.1,61.75,61.85,124,3905,5/9/2019,11.66,11.91,11.65,11.78,74872,453178,5/9/2019,33.8,34.67,33.28,33.75,10155,72560,5/9/2019,61.95,62.2,60.93,61.7,39495,83633,5/9/2019,2.604,2.607,2.561,2.595,122666,238206,5/9/2019,62.02,62.21,60.92,61.7,757942,315442,5/9/2019,1.9748,1.9838,1.9457,1.9754,71367,114534,5/9/2019,2.0564,2.0596,2.0215,2.0436,60625,99773
5/8/2019,17.85,18.38,17.4,17.925,176500,159705,5/8/2019,148.625,149.1875,148.03125,148.21875,345085,963984,5/8/2019,115.671875,115.8203125,115.515625,115.578125,957919,4520567,5/8/2019,367,368.25,361.5,364.25,162166,845971,5/8/2019,10.93,10.99,10.91,10.95,434,7466,5/8/2019,27.06,27.2,26.7,27,47144,242425,5/8/2019,830.75,835,824.75,827.25,85001,423921,5/8/2019,440.25,443.5,434.5,439,46176,281046,5/8/2019,0.7017,0.7033,0.6992,0.6995,108352,159302,5/8/2019,1.3101,1.3106,1.3013,1.303,102004,151522,5/8/2019,0.743,0.7445,0.7422,0.74275,73187,143084,5/8/2019,9099,9127,9095.5,9108.5,179880,198835,5/8/2019,112.475,112.8,110.925,111.075,42557,126480,5/8/2019,52190,52280,51940,51990,70933,263509,5/8/2019,339.9,356.8,337,346.1,394,2677,5/8/2019,0.9848,0.987,0.9831,0.9838,24304,101465,5/8/2019,69.88,70.7,69.33,70.37,290687,476257,5/8/2019,629.25,638,625.75,636.75,124361,163648,5/8/2019,2.0407,2.0686,2.0282,2.0562,6702,5448,5/8/2019,62,63.3,62,63.3,191,3957,5/8/2019,12,12,11.64,11.65,111373,440475,5/8/2019,31.7,33.85,31.6,33.19,9235,71665,5/8/2019,61.57,62.37,61.08,62.12,37208,85461,5/8/2019,2.542,2.615,2.536,2.61,165909,266246,5/8/2019,61.44,62.37,61.07,62.12,779061,347698,5/8/2019,1.9493,1.9775,1.9264,1.975,86693,119390,5/8/2019,2.0364,2.0688,2.028,2.0562,59613,106854
5/7/2019,16.65,18.7,16.21,17.725,260416,157094,5/7/2019,148.3125,148.84375,147.75,148.75,333393,964778,5/7/2019,115.7265625,115.734375,115.5078125,115.71875,938471,4561306,5/7/2019,365.25,368.25,363,366.5,144238,856241,5/7/2019,10.71,11.09,10.71,10.935,1116,7495,5/7/2019,26.96,27.4,26.96,27.1,53832,241798,5/7/2019,829,836.25,827,830.75,93384,433280,5/7/2019,436.5,442.25,431.25,439.5,53128,281314,5/7/2019,0.6994,0.7056,0.6988,0.701,113963,163600,5/7/2019,1.3128,1.316,1.3066,1.3091,105758,153054,5/7/2019,0.744,0.7465,0.74205,0.7426,70093,143364,5/7/2019,9062.5,9105.5,9050,9098,147063,196566,5/7/2019,112.5,112.925,111.975,112.275,40411,136721,5/7/2019,52200,52470,52030,52130,48766,265058,5/7/2019,344.5,346.8,340,341.8,178,2671,5/7/2019,0.9859,0.9879,0.9816,0.9845,25017,100959,5/7/2019,71.15,71.33,69.38,69.88,328905,488274,5/7/2019,637.75,639.5,623.5,630.5,103415,158242,5/7/2019,2.0683,2.0704,2.0212,2.0376,7152,5750,5/7/2019,62.45,63.6,62.2,62.3,44,4002,5/7/2019,11.89,12.06,11.85,11.95,75448,440906,5/7/2019,33.1,33.6,31.86,32.39,14765,73240,5/7/2019,62.29,62.45,60.66,61.4,41277,87256,5/7/2019,2.515,2.556,2.514,2.537,114158,295892,5/7/2019,62.17,62.49,60.66,61.4,829754,384049,5/7/2019,1.996,1.9995,1.9293,1.9487,84662,129289,5/7/2019,2.062,2.0724,2.0209,2.0376,64338,113089
5/6/2019,16.05,17.2,16,16.325,148074,149534,5/6/2019,147.65625,148.75,147.65625,147.8125,274273,947451,5/6/2019,115.484375,115.8515625,115.484375,115.5234375,752567,4559886,5/6/2019,359.5,365,355.5,364.25,225462,866789,5/6/2019,10.73,10.74,10.66,10.7,425,7437,5/6/2019,26.97,27.27,26.53,27.13,73528,245376,5/6/2019,828,834,816.75,830.25,144094,436077,5/6/2019,430,439.5,428,437.25,45547,280418,5/6/2019,0.6994,0.7011,0.697,0.7007,92574,161376,5/6/2019,1.3193,1.32,1.311,1.3128,72288,158102,5/6/2019,0.7446,0.74525,0.74175,0.74495,65375,144975,5/6/2019,9059,9097.5,9042,9046,129692,199275,5/6/2019,112.725,114.875,111.875,112.275,42066,143972,5/6/2019,52110,52460,51980,52420,54186,260147,5/6/2019,348.9,349.1,342.7,347.9,229,2641,5/6/2019,0.9874,0.9889,0.9845,0.9867,19476,99517,5/6/2019,70.59,71.79,68.79,71.24,226494,490758,5/6/2019,636.25,643.5,625.5,636.25,72786,160640,5/6/2019,2.0449,2.0873,2.0284,2.0676,6350,5863,5/6/2019,63.45,63.45,63.45,63.45,0,4007,5/6/2019,11.95,12.01,11.84,11.88,54271,435706,5/6/2019,33.99,33.99,33.99,33.99,0,73240,5/6/2019,61.52,62.95,60.04,62.25,26353,87210,5/6/2019,2.565,2.574,2.516,2.524,92252,296896,5/6/2019,61.43,62.95,60.04,62.25,764705,394652,5/6/2019,2.0237,2.0237,1.9811,1.9966,78755,133277,5/6/2019,2.0646,2.0877,2.0271,2.0676,61984,118359
5/3/2019,16.22,16.25,15.5,15.575,84079,151941,5/3/2019,147.15625,147.65625,146.65625,147.375,246345,941570,5/3/2019,115.296875,115.46875,115.109375,115.3671875,838687,4537360,5/3/2019,370.25,371.75,366,370.75,136649,873745,5/3/2019,10.68,10.8,10.605,10.755,436,7403,5/3/2019,27.49,27.58,27.29,27.35,37642,246471,5/3/2019,844,848,840.5,842.25,79032,430888,5/3/2019,445,448,436,438,45325,283472,5/3/2019,0.7006,0.7033,0.6991,0.7024,88040,160749,5/3/2019,1.3062,1.3208,1.3015,1.3193,135505,153757,5/3/2019,0.7429,0.74675,0.74195,0.7455,70731,145226,5/3/2019,8998,9033.5,8977.5,9031,96895,198474,5/3/2019,113.675,114.475,113.225,113.425,32621,150040,5/3/2019,51910,52510,51790,52400,51412,259028,5/3/2019,349.1,360.6,347.8,349.3,550,2646,5/3/2019,0.9851,0.9882,0.9829,0.9868,18971,100146,5/3/2019,70.48,71.54,69.95,70.85,245256,493689,5/3/2019,635.5,644.25,631.25,643.5,135503,153160,5/3/2019,2.0726,2.0921,2.055,2.0702,10679,5874,5/3/2019,61.95,63.35,61.95,63.35,6,3983,5/3/2019,12.24,12.25,11.97,12.01,80158,431944,5/3/2019,33.28,34.34,33.04,33.99,8830,72575,5/3/2019,61.72,62.51,61.31,61.94,26595,90325,5/3/2019,2.589,2.611,2.553,2.567,87476,295330,5/3/2019,61.55,62.52,61.3,61.94,642456,420813,5/3/2019,2.0116,2.0412,2.0105,2.0265,72119,138861,5/3/2019,2.0675,2.0921,2.055,2.0702,65633,121712
5/2/2019,16.4,16.66,15.9,16.225,105942,149154,5/2/2019,147.8125,147.90625,146.875,146.9375,267271,947310,5/2/2019,115.5078125,115.53125,115.2578125,115.265625,885771,4554219,5/2/2019,369.25,371,366.5,370.5,191228,875359,5/2/2019,10.565,10.725,10.51,10.705,331,7449,5/2/2019,27.68,27.76,27.17,27.5,62719,244017,5/2/2019,853,853.75,842,843.25,110480,422992,5/2/2019,436.75,448.5,435.5,444,62007,285175,5/2/2019,0.7023,0.7037,0.7002,0.7004,72518,158249,5/2/2019,1.3082,1.3113,1.3047,1.3056,99404,156313,5/2/2019,0.7449,0.74535,0.74285,0.7432,65081,145809,5/2/2019,9005.5,9010.5,8985,8999,74306,198583,5/2/2019,114.3,114.475,113.45,113.675,31451,156183,5/2/2019,52270,52420,51870,51920,53010,264372,5/2/2019,344.3,353,344.1,348.5,561,2598,5/2/2019,0.987,0.9875,0.984,0.985,20944,99589,5/2/2019,72,72.22,69.68,70.75,337465,503678,5/2/2019,642.5,643.75,630,633,190277,162260,5/2/2019,2.091,2.0917,2.0481,2.0778,12152,6294,5/2/2019,60.2,61.15,60.2,61.15,16,3946,5/2/2019,12.25,12.33,12.15,12.23,72839,429662,5/2/2019,33.25,34.02,32.82,33.38,9175,73730,5/2/2019,63.49,63.67,60.96,61.81,43619,92789,5/2/2019,2.613,2.618,2.564,2.589,120400,298917,5/2/2019,63.61,63.68,60.95,61.81,905145,431230,5/2/2019,2.0652,2.0658,1.9956,2.0183,71908,142578,5/2/2019,2.0924,2.0962,2.048,2.0778,103210,124370
5/1/2019,15.7,16.45,15.48,16.325,86496,141216,5/1/2019,147.59375,148.375,147.5,147.59375,303323,939780,5/1/2019,115.6484375,115.9609375,115.4453125,115.53125,1242847,4594183,5/1/2019,362.5,369,362.5,368.5,171959,880566,5/1/2019,10.55,10.59,10.41,10.56,478,7316,5/1/2019,27.89,28.01,27.55,27.65,38658,241334,5/1/2019,853.75,857.75,844.25,851.75,112901,417876,5/1/2019,428,437.75,427.75,436,55987,280364,5/1/2019,0.7056,0.7069,0.7015,0.7021,82209,157878,5/1/2019,1.3073,1.3136,1.3062,1.3079,83017,158984,5/1/2019,0.7474,0.7484,0.7437,0.7443,74230,146888,5/1/2019,9004,9035,8988.5,8990,106640,200420,5/1/2019,114.425,114.775,113.775,113.875,30855,159863,5/1/2019,52420,52830,52180,52340,62635,258500,5/1/2019,341,341.4,334,338,406,2459,5/1/2019,0.9857,0.992,0.985,0.9866,32647,102610,5/1/2019,71.73,72.36,71.3,72.18,225012,511954,5/1/2019,634.75,644.25,632,637.75,131803,162679,5/1/2019,2.0655,2.0972,2.0606,2.0942,7961,6673,5/1/2019,60.7,60.7,59.8,60.35,82,3975,5/1/2019,12.38,12.39,12.1,12.21,108237,405676,5/1/2019,33,33,32.05,32.59,7505,75005,5/1/2019,63.56,63.93,62.79,63.6,27288,96812,5/1/2019,2.572,2.626,2.561,2.62,104966,308366,5/1/2019,63.4,63.93,62.77,63.6,671560,439249,5/1/2019,2.0528,2.0823,2.0414,2.0642,76513,155547,5/1/2019,2.07,2.0977,2.0606,2.0942,55807,128094
4/30/2019,15.478,15.852,15.35,15.505,70388,144212,4/30/2019,147.15625,147.625,146.75,147.46875,337445,943316,4/30/2019,115.5234375,115.6640625,115.3828125,115.640625,1046614,4577987,4/30/2019,359.45,361.4,356.65,360.65,134130,702022,4/30/2019,10.552,10.555,10.397,10.519,361,5886,4/30/2019,28.126,28.26,27.774,27.82,52446,195775,4/30/2019,858.6,861.85,848.7,851.45,93783,330540,4/30/2019,432.2,433.6,424.05,426.7,53907,225179,4/30/2019,0.7062,0.7077,0.7039,0.7058,96014,157918,4/30/2019,1.2964,1.3082,1.2959,1.3069,135709,162406,4/30/2019,0.7439,0.74825,0.7427,0.74755,99634,149977,4/30/2019,8985.5,9020,8983.5,9009.5,104348,202978,4/30/2019,115.1,115.275,114.1,114.25,30977,164233,4/30/2019,52200,52450,52020,52400,42338,256952,4/30/2019,344.44,346.72,336.94,343.2,355,2088,4/30/2019,0.9851,0.9872,0.9844,0.986,27957,100526,4/30/2019,71.54,72.886,71.298,72.208,270736,424665,4/30/2019,629.8,642.35,627.4,637.8,124865,152783,4/30/2019,2.0474,2.0935,2.0474,2.0779,6295,6781,4/30/2019,59.7,60.64,59.57,60.49,35,3859,4/30/2019,12.214,12.608,12.15,12.27,85638,318502,4/30/2019,33.5,34.18,32.88,33.66,7255,74005,4/30/2019,63.53,64.75,63.3,63.91,29342,98167,4/30/2019,2.593,2.614,2.565,2.575,94247,307526,4/30/2019,63.58,64.75,63.3,63.91,739813,446583,4/30/2019,2.04094,2.08402,2.03226,2.07808,70403,122685,4/30/2019,2.05448,2.09418,2.04712,2.07856,44602,103035
4/29/2019,15.16,15.29,14.95,15.245,63543,156041,4/29/2019,147.625,147.65625,146.84375,146.96875,190660,947382,4/29/2019,115.6015625,115.6171875,115.453125,115.484375,624933,4595226,4/29/2019,359.1,362,357.25,357.85,302560,548250,4/29/2019,10.399,10.522,10.279,10.501,1017,4374,4/29/2019,27.726,28.158,27.612,28.066,66750,152163,4/29/2019,862.85,867.6,855.2,855.45,123588,260026,4/29/2019,440.45,443.95,430.25,431.85,53619,170657,4/29/2019,0.7048,0.7069,0.7046,0.7065,57759,158288,4/29/2019,1.2952,1.2981,1.2938,1.2968,61646,161738,4/29/2019,0.74365,0.74495,0.74275,0.7445,47366,149964,4/29/2019,8991,8993.5,8966,8980.5,61814,198372,4/29/2019,115.3,115.45,114.6,114.8,25687,169678,4/29/2019,52400,52520,52130,52210,37996,258994,4/29/2019,349.32,349.9,340.68,341.62,353,1722,4/29/2019,0.9854,0.9863,0.9834,0.985,22612,97537,4/29/2019,71.278,72.2,70.802,71.74,252915,354173,4/29/2019,627.7,633.95,621.5,630.8,82495,143833,4/29/2019,2.04324,2.07014,2.03196,2.0541,6311,5793,4/29/2019,60.43,60.54,59.81,59.84,32,3793,4/29/2019,12.498,12.504,12.02,12.05,84950,235541,4/29/2019,33.27,34.728,33.27,33.71,6701,63640,4/29/2019,62.95,63.68,62.47,63.5,27876,101581,4/29/2019,2.578,2.598,2.546,2.593,88652,308695,4/29/2019,62.95,63.69,62.46,63.5,647323,456552,4/29/2019,2.06582,2.06978,2.04204,2.05076,54982,96028,4/29/2019,2.04404,2.07058,2.0299,2.0543,41680,82977
4/26/2019,15.32,15.4,14.72,14.805,89115,178262,4/26/2019,147.25,147.8125,146.9375,147.59375,242491,943212,4/26/2019,115.40625,115.6640625,115.3359375,115.59375,869276,4565251,4/26/2019,351.15,357.4,350.9,355.25,183820,478793,4/26/2019,10.241,10.316,10.174,10.297,780,3299,4/26/2019,27.724,27.76,27.328,27.648,70675,114308,4/26/2019,863.9,865.15,857.9,859.05,137995,233403,4/26/2019,436,441.7,435.75,438,38088,128582,4/26/2019,0.7021,0.707,0.7016,0.7048,100220,159786,4/26/2019,1.2926,1.2978,1.2909,1.2959,94628,159088,4/26/2019,0.7425,0.7443,0.7417,0.74375,81962,150771,4/26/2019,8992.5,9004.5,8955,8990.5,135398,203986,4/26/2019,115.075,115.95,114.65,115.05,43006,176818,4/26/2019,52170,52500,51920,52400,53629,257080,4/26/2019,349.44,352.8,344.84,349.98,403,1402,4/26/2019,0.9847,0.9865,0.9814,0.9859,24488,95857,4/26/2019,73.94,74.112,71.02,71.942,320728,300955,4/26/2019,642.35,642.8,620,623.65,75249,131531,4/26/2019,2.09388,2.09388,2.0244,2.0518,6283,4798,4/26/2019,59.77,60.19,59.77,59.98,47,3721,4/26/2019,12.522,12.574,12.322,12.416,64669,175986,4/26/2019,34.352,34.88,33.14,33.708,9977,53474,4/26/2019,64.99,65.07,62.29,63.3,49052,106231,4/26/2019,2.5266,2.6,2.509,2.5772,123864,245143,4/26/2019,65.13,65.18,62.28,63.3,992963,459817,4/26/2019,2.10872,2.1167,2.0433,2.07888,60105,73648,4/26/2019,2.0965,2.10088,2.02382,2.0516,41886,63205
