,CBOE_VX1_FWd,CBOE_VX1_FWo,CBOE_VX1_FWh,CBOE_VX1_FWl,CBOE_VX1_FWs,CBOE_VX1_FWv,CBOE_VX1_FWpo,CME_US1_FWd,CME_US1_FWo,CME_US1_FWh,CME_US1_FWl,CME_US1_FWs,CME_US1_FWv,CME_US1_FWpo,CME_FV1_FWd,CME_FV1_FWo,CME_FV1_FWh,CME_FV1_FWl,CME_FV1_FWs,CME_FV1_FWv,CME_FV1_FWpo,CME_C1_FWd,CME_C1_FWo,CME_C1_FWh,CME_C1_FWl,CME_C1_FWs,CME_C1_FWv,CME_C1_FWpo,CME_RR1_FWd,CME_RR1_FWo,CME_RR1_FWh,CME_RR1_FWl,CME_RR1_FWs,CME_RR1_FWv,CME_RR1_FWpo,CME_BO1_FWd,CME_BO1_FWo,CME_BO1_FWh,CME_BO1_FWl,CME_BO1_FWs,CME_BO1_FWv,CME_BO1_FWpo,CME_S1_FWd,CME_S1_FWo,CME_S1_FWh,CME_S1_FWl,CME_S1_FWs,CME_S1_FWv,CME_S1_FWpo,CME_W1_FWd,CME_W1_FWo,CME_W1_FWh,CME_W1_FWl,CME_W1_FWs,CME_W1_FWv,CME_W1_FWpo,CME_AD1_FWd,CME_AD1_FWo,CME_AD1_FWh,CME_AD1_FWl,CME_AD1_FWs,CME_AD1_FWv,CME_AD1_FWpo,CME_BP1_FWd,CME_BP1_FWo,CME_BP1_FWh,CME_BP1_FWl,CME_BP1_FWs,CME_BP1_FWv,CME_BP1_FWpo,CME_CD1_FWd,CME_CD1_FWo,CME_CD1_FWh,CME_CD1_FWl,CME_CD1_FWs,CME_CD1_FWv,CME_CD1_FWpo,CEM_ED1_FWd,CEM_ED1_FWo,CEM_ED1_FWh,CEM_ED1_FWl,CEM_ED1_FWs,CEM_ED1_FWv,CEM_ED1_FWpo,CME_JY1_FWd,CME_JY1_FWo,CME_JY1_FWh,CME_JY1_FWl,CME_JY1_FWs,CME_JY1_FWv,CME_JY1_FWpo,CME_LC1_FWd,CME_LC1_FWo,CME_LC1_FWh,CME_LC1_FWl,CME_LC1_FWs,CME_LC1_FWv,CME_LC1_FWpo,CME_MP1_FWd,CME_MP1_FWo,CME_MP1_FWh,CME_MP1_FWl,CME_MP1_FWs,CME_MP1_FWv,CME_MP1_FWpo,CME_LB1_FWd,CME_LB1_FWo,CME_LB1_FWh,CME_LB1_FWl,CME_LB1_FWs,CME_LB1_FWv,CME_LB1_FWpo,CME_SF1_FWd,CME_SF1_FWo,CME_SF1_FWh,CME_SF1_FWl,CME_SF1_FWs,CME_SF1_FWv,CME_SF1_FWpo,CME_RB1_FWd,CME_RB1_FWo,CME_RB1_FWh,CME_RB1_FWl,CME_RB1_FWs,CME_RB1_FWv,CME_RB1_FWpo,CME_HO1_FWd,CME_HO1_FWo,CME_HO1_FWh,CME_HO1_FWl,CME_HO1_FWs,CME_HO1_FWv,CME_HO1_FWpo,CME_NG1_FWd,CME_NG1_FWo,CME_NG1_FWh,CME_NG1_FWl,CME_NG1_FWs,CME_NG1_FWv,CME_NG1_FWpo,CME_CL1_FWd,CME_CL1_FWo,CME_CL1_FWh,CME_CL1_FWl,CME_CL1_FWs,CME_CL1_FWv,CME_CL1_FWpo,CME_RB1_FWd,CME_RB1_FWo,CME_RB1_FWh,CME_RB1_FWl,CME_RB1_FWs,CME_RB1_FWv,CME_RB1_FWpo
0,2019-05-09,17.97,19.15,17.8,17.875,184974,161014,2019-05-09,148.15625,149.09375,148.125,148.6875,469719,963021,2019-05-09,115.5546875,115.90625,115.5546875,115.7265625,1029433,4511160,2019-05-09,362.5,363.0,352.5,353.25,256067,837168,2019-05-09,10.955,11.035,10.905,10.935,507.0,7355.0,2019-05-09,26.9,26.92,26.5,26.63,60282,245499,2019-05-09,826.25,826.5,806.5,812.75,127862,426139,2019-05-09,437.75,438.0,428.0,429.5,52450,281252,2019-05-09,0.6996,0.7004,0.697,0.7001,104037.0,158109.0,2019-05-09,1.3033,1.306,1.2992,1.3048,94068,151627,2019-05-09,0.74265,0.74365,0.74115,0.74345,79667.0,139780.0,,,,,,,,2019-05-09,9111.0,9161.0,9109.0,9143.0,203486,199098,2019-05-09,110.875,112.25,110.875,111.95,38518,117652,2019-05-09,52110.0,52110.0,51450.0,51770.0,88536.0,268107.0,2019-05-09,350.7,360.4,347.2,358.5,363.0,2715.0,2019-05-09,0.9833,0.9912,0.9828,0.9888,34226.0,99446.0,2019-05-09,1.9748,1.9838,1.9457,1.9754,71367,114534,2019-05-09,2.0564,2.0596,2.0215,2.0436,60625,99773,2019-05-09,2.604,2.607,2.561,2.595,122666,238206,2019-05-09,62.02,62.21,60.92,61.7,757942,315442,2019-05-09,1.9748,1.9838,1.9457,1.9754,71367,114534
1,2019-05-08,17.85,18.38,17.4,17.925,176500,159705,2019-05-08,148.625,149.1875,148.03125,148.21875,345085,963984,2019-05-08,115.671875,115.8203125,115.515625,115.578125,957919,4520567,2019-05-08,367.0,368.25,361.5,364.25,162166,845971,2019-05-08,10.93,10.99,10.91,10.95,434.0,7466.0,2019-05-08,27.06,27.2,26.7,27.0,47144,242425,2019-05-08,830.75,835.0,824.75,827.25,85001,423921,2019-05-08,440.25,443.5,434.5,439.0,46176,281046,2019-05-08,0.7017,0.7033,0.6992,0.6995,108352.0,159302.0,2019-05-08,1.3101,1.3106,1.3013,1.303,102004,151522,2019-05-08,0.743,0.7445,0.7422,0.74275,73187.0,143084.0,,,,,,,,2019-05-08,9099.0,9127.0,9095.5,9108.5,179880,198835,2019-05-08,112.475,112.8,110.925,111.075,42557,126480,2019-05-08,52190.0,52280.0,51940.0,51990.0,70933.0,263509.0,2019-05-08,339.9,356.8,337.0,346.1,394.0,2677.0,2019-05-08,0.9848,0.987,0.9831,0.9838,24304.0,101465.0,2019-05-08,1.9493,1.9775,1.9264,1.975,86693,119390,2019-05-08,2.0364,2.0688,2.028,2.0562,59613,106854,2019-05-08,2.542,2.615,2.536,2.61,165909,266246,2019-05-08,61.44,62.37,61.07,62.12,779061,347698,2019-05-08,1.9493,1.9775,1.9264,1.975,86693,119390
2,2019-05-07,16.65,18.7,16.21,17.725,260416,157094,2019-05-07,148.3125,148.84375,147.75,148.75,333393,964778,2019-05-07,115.7265625,115.734375,115.5078125,115.71875,938471,4561306,2019-05-07,365.25,368.25,363.0,366.5,144238,856241,2019-05-07,10.71,11.09,10.71,10.935,1116.0,7495.0,2019-05-07,26.96,27.4,26.96,27.1,53832,241798,2019-05-07,829.0,836.25,827.0,830.75,93384,433280,2019-05-07,436.5,442.25,431.25,439.5,53128,281314,2019-05-07,0.6994,0.7056,0.6988,0.701,113963.0,163600.0,2019-05-07,1.3128,1.316,1.3066,1.3091,105758,153054,2019-05-07,0.744,0.7465,0.74205,0.7426,70093.0,143364.0,,,,,,,,2019-05-07,9062.5,9105.5,9050.0,9098.0,147063,196566,2019-05-07,112.5,112.925,111.975,112.275,40411,136721,2019-05-07,52200.0,52470.0,52030.0,52130.0,48766.0,265058.0,2019-05-07,344.5,346.8,340.0,341.8,178.0,2671.0,2019-05-07,0.9859,0.9879,0.9816,0.9845,25017.0,100959.0,2019-05-07,1.996,1.9995,1.9293,1.9487,84662,129289,2019-05-07,2.062,2.0724,2.0209,2.0376,64338,113089,2019-05-07,2.515,2.556,2.514,2.537,114158,295892,2019-05-07,62.17,62.49,60.66,61.4,829754,384049,2019-05-07,1.996,1.9995,1.9293,1.9487,84662,129289
3,2019-05-06,16.05,17.2,16.0,16.325,148074,149534,2019-05-06,147.65625,148.75,147.65625,147.8125,274273,947451,2019-05-06,115.484375,115.8515625,115.484375,115.5234375,752567,4559886,2019-05-06,359.5,365.0,355.5,364.25,225462,866789,2019-05-06,10.73,10.74,10.66,10.7,425.0,7437.0,2019-05-06,26.97,27.27,26.53,27.13,73528,245376,2019-05-06,828.0,834.0,816.75,830.25,144094,436077,2019-05-06,430.0,439.5,428.0,437.25,45547,280418,2019-05-06,0.6994,0.7011,0.697,0.7007,92574.0,161376.0,2019-05-06,1.3193,1.32,1.311,1.3128,72288,158102,2019-05-06,0.7446,0.74525,0.74175,0.74495,65375.0,144975.0,,,,,,,,2019-05-06,9059.0,9097.5,9042.0,9046.0,129692,199275,2019-05-06,112.725,114.875,111.875,112.275,42066,143972,2019-05-06,52110.0,52460.0,51980.0,52420.0,54186.0,260147.0,2019-05-06,348.9,349.1,342.7,347.9,229.0,2641.0,2019-05-06,0.9874,0.9889,0.9845,0.9867,19476.0,99517.0,2019-05-06,2.0237,2.0237,1.9811,1.9966,78755,133277,2019-05-06,2.0646,2.0877,2.0271,2.0676,61984,118359,2019-05-06,2.565,2.574,2.516,2.524,92252,296896,2019-05-06,61.43,62.95,60.04,62.25,764705,394652,2019-05-06,2.0237,2.0237,1.9811,1.9966,78755,133277
4,2019-05-03,16.22,16.25,15.5,15.575,84079,151941,2019-05-03,147.15625,147.65625,146.65625,147.375,246345,941570,2019-05-03,115.296875,115.46875,115.109375,115.3671875,838687,4537360,2019-05-03,370.25,371.75,366.0,370.75,136649,873745,2019-05-03,10.68,10.8,10.605,10.755,436.0,7403.0,2019-05-03,27.49,27.58,27.29,27.35,37642,246471,2019-05-03,844.0,848.0,840.5,842.25,79032,430888,2019-05-03,445.0,448.0,436.0,438.0,45325,283472,2019-05-03,0.7006,0.7033,0.6991,0.7024,88040.0,160749.0,2019-05-03,1.3062,1.3208,1.3015,1.3193,135505,153757,2019-05-03,0.7429,0.74675,0.74195,0.7455,70731.0,145226.0,,,,,,,,2019-05-03,8998.0,9033.5,8977.5,9031.0,96895,198474,2019-05-03,113.675,114.475,113.225,113.425,32621,150040,2019-05-03,51910.0,52510.0,51790.0,52400.0,51412.0,259028.0,2019-05-03,349.1,360.6,347.8,349.3,550.0,2646.0,2019-05-03,0.9851,0.9882,0.9829,0.9868,18971.0,100146.0,2019-05-03,2.0116,2.0412,2.0105,2.0265,72119,138861,2019-05-03,2.0675,2.0921,2.055,2.0702,65633,121712,2019-05-03,2.589,2.611,2.553,2.567,87476,295330,2019-05-03,61.55,62.52,61.3,61.94,642456,420813,2019-05-03,2.0116,2.0412,2.0105,2.0265,72119,138861
5,2019-05-02,16.4,16.66,15.9,16.225,105942,149154,2019-05-02,147.8125,147.90625,146.875,146.9375,267271,947310,2019-05-02,115.5078125,115.53125,115.2578125,115.265625,885771,4554219,2019-05-02,369.25,371.0,366.5,370.5,191228,875359,2019-05-02,10.565,10.725,10.51,10.705,331.0,7449.0,2019-05-02,27.68,27.76,27.17,27.5,62719,244017,2019-05-02,853.0,853.75,842.0,843.25,110480,422992,2019-05-02,436.75,448.5,435.5,444.0,62007,285175,2019-05-02,0.7023,0.7037,0.7002,0.7004,72518.0,158249.0,2019-05-02,1.3082,1.3113,1.3047,1.3056,99404,156313,2019-05-02,0.7449,0.74535,0.74285,0.7432,65081.0,145809.0,,,,,,,,2019-05-02,9005.5,9010.5,8985.0,8999.0,74306,198583,2019-05-02,114.3,114.475,113.45,113.675,31451,156183,2019-05-02,52270.0,52420.0,51870.0,51920.0,53010.0,264372.0,2019-05-02,344.3,353.0,344.1,348.5,561.0,2598.0,2019-05-02,0.987,0.9875,0.984,0.985,20944.0,99589.0,2019-05-02,2.0652,2.0658,1.9956,2.0183,71908,142578,2019-05-02,2.0924,2.0962,2.048,2.0778,103210,124370,2019-05-02,2.613,2.618,2.564,2.589,120400,298917,2019-05-02,63.61,63.68,60.95,61.81,905145,431230,2019-05-02,2.0652,2.0658,1.9956,2.0183,71908,142578
6,2019-05-01,15.7,16.45,15.48,16.325,86496,141216,2019-05-01,147.59375,148.375,147.5,147.59375,303323,939780,2019-05-01,115.6484375,115.9609375,115.4453125,115.53125,1242847,4594183,2019-05-01,362.5,369.0,362.5,368.5,171959,880566,2019-05-01,10.55,10.59,10.41,10.56,478.0,7316.0,2019-05-01,27.89,28.01,27.55,27.65,38658,241334,2019-05-01,853.75,857.75,844.25,851.75,112901,417876,2019-05-01,428.0,437.75,427.75,436.0,55987,280364,2019-05-01,0.7056,0.7069,0.7015,0.7021,82209.0,157878.0,2019-05-01,1.3073,1.3136,1.3062,1.3079,83017,158984,2019-05-01,0.7474,0.7484,0.7437,0.7443,74230.0,146888.0,,,,,,,,2019-05-01,9004.0,9035.0,8988.5,8990.0,106640,200420,2019-05-01,114.425,114.775,113.775,113.875,30855,159863,2019-05-01,52420.0,52830.0,52180.0,52340.0,62635.0,258500.0,2019-05-01,341.0,341.4,334.0,338.0,406.0,2459.0,2019-05-01,0.9857,0.992,0.985,0.9866,32647.0,102610.0,2019-05-01,2.0528,2.0823,2.0414,2.0642,76513,155547,2019-05-01,2.07,2.0977,2.0606,2.0942,55807,128094,2019-05-01,2.572,2.626,2.561,2.62,104966,308366,2019-05-01,63.4,63.93,62.77,63.6,671560,439249,2019-05-01,2.0528,2.0823,2.0414,2.0642,76513,155547
7,2019-04-30,15.478,15.852,15.35,15.505,70388,144212,2019-04-30,147.15625,147.625,146.75,147.46875,337445,943316,2019-04-30,115.5234375,115.6640625,115.3828125,115.640625,1046614,4577987,2019-04-30,359.45,361.4,356.65,360.65,134130,702022,2019-04-30,10.552,10.555,10.397,10.519,361.0,5886.0,2019-04-30,28.126,28.26,27.774,27.82,52446,195775,2019-04-30,858.6,861.85,848.7,851.45,93783,330540,2019-04-30,432.2,433.6,424.05,426.7,53907,225179,2019-04-30,0.7062,0.7077,0.7039,0.7058,96014.0,157918.0,2019-04-30,1.2964,1.3082,1.2959,1.3069,135709,162406,2019-04-30,0.7439,0.74825,0.7427,0.74755,99634.0,149977.0,,,,,,,,2019-04-30,8985.5,9020.0,8983.5,9009.5,104348,202978,2019-04-30,115.1,115.275,114.1,114.25,30977,164233,2019-04-30,52200.0,52450.0,52020.0,52400.0,42338.0,256952.0,2019-04-30,344.44,346.72,336.94,343.2,355.0,2088.0,2019-04-30,0.9851,0.9872,0.9844,0.986,27957.0,100526.0,2019-04-30,2.04094,2.08402,2.03226,2.07808,70403,122685,2019-04-30,2.05448,2.09418,2.04712,2.07856,44602,103035,2019-04-30,2.593,2.614,2.565,2.575,94247,307526,2019-04-30,63.58,64.75,63.3,63.91,739813,446583,2019-04-30,2.04094,2.08402,2.03226,2.07808,70403,122685
8,2019-04-29,15.16,15.29,14.95,15.245,63543,156041,2019-04-29,147.625,147.65625,146.84375,146.96875,190660,947382,2019-04-29,115.6015625,115.6171875,115.453125,115.484375,624933,4595226,2019-04-29,359.1,362.0,357.25,357.85,302560,548250,2019-04-29,10.399,10.522,10.279,10.501,1017.0,4374.0,2019-04-29,27.726,28.158,27.612,28.066,66750,152163,2019-04-29,862.85,867.6,855.2,855.45,123588,260026,2019-04-29,440.45,443.95,430.25,431.85,53619,170657,2019-04-29,0.7048,0.7069,0.7046,0.7065,57759.0,158288.0,2019-04-29,1.2952,1.2981,1.2938,1.2968,61646,161738,2019-04-29,0.74365,0.74495,0.74275,0.7445,47366.0,149964.0,,,,,,,,2019-04-29,8991.0,8993.5,8966.0,8980.5,61814,198372,2019-04-29,115.3,115.45,114.6,114.8,25687,169678,2019-04-29,52400.0,52520.0,52130.0,52210.0,37996.0,258994.0,2019-04-29,349.32,349.9,340.68,341.62,353.0,1722.0,2019-04-29,0.9854,0.9863,0.9834,0.985,22612.0,97537.0,2019-04-29,2.06582,2.06978,2.04204,2.05076,54982,96028,2019-04-29,2.04404,2.07058,2.0299,2.0543,41680,82977,2019-04-29,2.578,2.598,2.546,2.593,88652,308695,2019-04-29,62.95,63.69,62.46,63.5,647323,456552,2019-04-29,2.06582,2.06978,2.04204,2.05076,54982,96028
9,2019-04-26,15.32,15.4,14.72,14.805,89115,178262,2019-04-26,147.25,147.8125,146.9375,147.59375,242491,943212,2019-04-26,115.40625,115.6640625,115.3359375,115.59375,869276,4565251,2019-04-26,351.15,357.4,350.9,355.25,183820,478793,2019-04-26,10.241,10.316,10.174,10.297,780.0,3299.0,2019-04-26,27.724,27.76,27.328,27.648,70675,114308,2019-04-26,863.9,865.15,857.9,859.05,137995,233403,2019-04-26,436.0,441.7,435.75,438.0,38088,128582,2019-04-26,0.7021,0.707,0.7016,0.7048,100220.0,159786.0,2019-04-26,1.2926,1.2978,1.2909,1.2959,94628,159088,2019-04-26,0.7425,0.7443,0.7417,0.74375,81962.0,150771.0,,,,,,,,2019-04-26,8992.5,9004.5,8955.0,8990.5,135398,203986,2019-04-26,115.075,115.95,114.65,115.05,43006,176818,2019-04-26,52170.0,52500.0,51920.0,52400.0,53629.0,257080.0,2019-04-26,349.44,352.8,344.84,349.98,403.0,1402.0,2019-04-26,0.9847,0.9865,0.9814,0.9859,24488.0,95857.0,2019-04-26,2.10872,2.1167,2.0433,2.07888,60105,73648,2019-04-26,2.0965,2.10088,2.02382,2.0516,41886,63205,2019-04-26,2.5266,2.6,2.509,2.5772,123864,245143,2019-04-26,65.13,65.18,62.28,63.3,992963,459817,2019-04-26,2.10872,2.1167,2.0433,2.07888,60105,73648
