,EUR/USD Close
0,1.1729
1,1.1825
2,1.1776
3,1.16
4,1.1713
5,1.1595
6,1.1491
7,1.1551
8,1.1653
9,1.1709
10,1.159
11,1.1605
12,1.161
13,1.1553
14,1.16
15,1.1587
16,1.1555
17,1.1561
18,1.1432
19,1.1421
20,1.1367
21,1.1312
22,1.1348
23,1.1319
24,1.1335
25,1.1265
26,1.1325
27,1.1289
28,1.1345
29,1.1233
30,1.128
31,1.123
32,1.1201
33,1.1237
34,1.1203
35,1.1063
36,1.1036
37,1.1005
38,1.0986
39,1.1044
40,1.1016
41,1.0886
42,1.0918
43,1.0889
44,1.082
45,1.0826
46,1.0883
47,1.0889
48,1.0952
49,1.1032
50,1.0904
51,1.0937
52,1.1
53,1.1004
54,1.0971
55,1.0886
56,1.0915
57,1.091
58,1.0892
59,1.0906
60,1.0767
61,1.0739
62,1.0717
63,1.0757
64,1.0789
65,1.0782
66,1.0711
67,1.0842
68,1.0774
69,1.0744
70,1.0802
71,1.0823
72,1.0769
73,1.0797
74,1.0703
75,1.07
76,1.0633
77,1.0627
78,1.0619
79,1.0616
80,1.0612
81,1.0586
82,1.0665
83,1.0623
84,1.0591
85,1.0584
86,1.0577
87,1.0633
88,1.0744
89,1.0815
90,1.075
91,1.08
92,1.0715
93,1.0649
94,1.0666
95,1.0652
96,1.0669
97,1.0686
98,1.0659
99,1.0631
100,1.0579
101,1.0592
102,1.0593
103,1.0468
104,1.0441
105,1.0401
106,1.042
107,1.0448
108,1.0348
109,1.0325
110,1.0373
111,1.0284
112,1.0458
113,1.0471
114,1.0482
115,1.0542
116,1.0422
117,1.0422
118,1.0313
119,1.0342
120,1.0387
121,1.0348
122,1.0323
123,1.0328
124,1.0408
125,1.0431
126,1.0361
127,1.0335
128,1.034
129,1.0233
130,1.0245
131,1.0225
132,1.0234
133,1.0227
134,1.021
135,1.0174
136,1.0156
137,1.0173
138,1.0212
139,1.0207
140,1.0196
141,1.0301
142,1.0413
143,1.0523
144,1.0523
145,1.0514
146,1.0661
147,1.0621
148,1.0662
149,1.0726
150,1.0707
151,1.0689
152,1.0686
153,1.0775
154,1.0758
155,1.0759
156,1.0706
157,1.071
158,1.0657
159,1.0666
160,1.0567
161,1.0568
162,1.0513
163,1.0528
164,1.0633
165,1.0669
166,1.0502
167,1.0531
168,1.0424
169,1.0448
170,1.0459
171,1.0461
172,1.0577
173,1.0594
174,1.069
175,1.0615
176,1.058
177,1.0590000000000002
178,1.0594
179,1.0537
180,1.0357
181,1.0414
182,1.0355
183,1.0396
184,1.0406
185,1.0413
186,1.0385
187,1.0485
188,1.0446
189,1.0439
190,1.0452
191,1.0474
192,1.0547
193,1.0638
194,1.067
195,1.0739
196,1.0739
197,1.0753
198,1.0691
199,1.0718
200,1.0613
201,1.064
202,1.0759
203,1.0789
204,1.079
205,1.0896
206,1.0841
207,1.0839
208,1.0742
209,1.082
210,1.0669
211,1.0662
212,1.0585
213,1.05
214,1.0522
215,1.0542
216,1.0507
217,1.0519
218,1.048
219,1.0359
220,1.042
221,1.0387
222,1.0394
223,1.0444
224,1.042
225,1.0319
226,1.0317
227,1.0325
228,1.0407
229,1.0293
230,1.031
231,1.0315
232,1.0271
233,1.0190000000000001
234,1.0190000000000001
235,1.0164
236,1.0103
237,1.0086
238,1.0087
239,1.0026
240,1.0024
241,1.0224
242,1.0247
243,1.0274
244,1.0213
245,1.012
246,1.014
247,1.0055
248,1.0070000000000001
249,1.0167
250,1.008
251,1.0116
252,1.0086
253,1.0088
254,1.0147
255,1.013
256,1.0126
257,1.0059
258,1.0054
259,1.0087
260,1.0107
261,1.0276
262,1.0299
263,1.0317
264,1.0299
265,1.0283
266,1.0256
267,1.0326
268,1.0312
269,1.0257
270,1.0142
271,1.0118
272,1.0122
273,1.0123
274,1.0167
275,1.0098
276,1.0043
277,1.0017
278,1.0013
279,0.9877
280,0.9773
281,0.9695
282,0.9732
283,0.9756
284,0.9901
285,0.9825
286,0.9802
287,0.9857
288,0.9922
289,0.9862
290,0.987
291,0.9813
292,0.9813
293,0.9865
294,0.9886
295,0.9847
296,0.987
297,1.005
298,1.0029
299,0.9943
300,0.9742
301,0.9728
302,0.9664
303,0.9743
304,0.9662
305,0.9617
306,0.9591
307,0.9570000000000001
308,0.9613
309,0.9678
310,0.963
311,0.9646
312,0.9672
313,0.968
314,0.9715
315,0.9726
316,0.9733
317,0.9644
318,0.9602
319,0.972
320,0.9751
321,0.9655
322,0.9614
323,0.9507
324,0.9611
325,0.9557
326,0.9581
327,0.9637
328,0.9628
329,0.9602
330,0.9547
331,0.9615
332,0.9589
333,0.9562
334,0.9541
335,0.9596
336,0.9535
337,0.9474
338,0.9397
339,0.9375
340,0.938
341,0.9395
342,0.92
343,0.9235
344,0.9107
345,0.9093
346,0.9166
347,0.9075
348,0.895
349,0.8902
350,0.8985
351,0.8917
352,0.9067
353,0.909
354,0.8992
355,0.9185
356,0.9123
357,0.9034
358,0.8952
359,0.8934
360,0.8991
361,0.9048
362,0.9059
363,0.9069
364,0.9124
365,0.9314
366,0.9265
367,0.9318
368,0.9358
369,0.9327
370,0.9421
371,0.9485
372,0.9548
373,0.9621
374,0.9567
375,0.9537
376,0.9535
377,0.9606
378,0.9605
379,0.9535
380,0.9654
381,0.9591
382,0.9579
383,0.945
384,0.9379
385,0.9362
386,0.9382
387,0.9466
388,0.9431
389,0.9521
390,0.9536
391,0.9507
392,0.9520000000000001
393,0.9535
394,0.9506
395,0.9468
396,0.9545
397,0.9519
398,0.9419
399,0.9363
400,0.9377
401,0.9356
402,0.9264
403,0.9232
404,0.9328
405,0.937
406,0.9327
407,0.938
408,0.9416
409,0.9323
410,0.9234
411,0.9269
412,0.9145
413,0.912
414,0.907
415,0.9079
416,0.9084
417,0.9018
418,0.8986
419,0.9077
420,0.9033
421,0.9052
422,0.9132
423,0.9157
424,0.9173
425,0.9068
426,0.9018
427,0.8974
428,0.9002
429,0.9023
430,0.9027
431,0.9001
432,0.8924
433,0.8926
434,0.8878
435,0.8997
436,0.8985
437,0.8888
438,0.8703
439,0.8736
440,0.8695
441,0.8586
442,0.8627
443,0.8613
444,0.8647
445,0.8556
446,0.8539
447,0.8515
448,0.8478
449,0.8581
450,0.8789
451,0.8726
452,0.8822
453,0.8834
454,0.8817
455,0.8821
456,0.8784
457,0.8741
458,0.8746
459,0.8691
460,0.868
461,0.868
462,0.8714
463,0.8688
464,0.8626
465,0.8537
466,0.8496
467,0.8554
468,0.8382
469,0.8435
470,0.8419
471,0.8355
472,0.8371
473,0.8276
474,0.8290000000000001
475,0.8399
476,0.8425
477,0.8490000000000001
478,0.8609
479,0.8604
480,0.8652
481,0.8606
482,0.8614
483,0.855
484,0.8658
485,0.8614
486,0.8605
487,0.8569
488,0.8578
489,0.8521
490,0.8475
491,0.8493
492,0.8433
493,0.8446
494,0.8390000000000001
495,0.84
496,0.8519
497,0.8565
498,0.8581
499,0.872
500,0.8783
501,0.8874
502,0.8806
503,0.8909
504,0.8888
505,0.8831
506,0.8774
507,0.8803
508,0.8758
509,0.8892
510,0.8958
511,0.8937
512,0.8933
513,0.9079
514,0.914
515,0.9235
516,0.9235
517,0.932
518,0.9304
519,0.9286
520,0.9398
521,0.9398
522,0.9488
523,0.9291
524,0.9503
525,0.9575
526,0.9506
527,0.9441
528,0.9390000000000001
529,0.9517
530,0.9504
531,0.9425
532,0.9413
533,0.9344
534,0.9444
535,0.9342
536,0.9381
537,0.9389
538,0.9234
539,0.9214
540,0.924
541,0.9184
542,0.927
543,0.9365
544,0.9420000000000001
545,0.9348
546,0.9389
547,0.93
548,0.9308
549,0.9178
550,0.9263
551,0.9313
552,0.9205
553,0.919
554,0.9034
555,0.9162
556,0.9215
557,0.9097
558,0.9083
559,0.9051
560,0.919
561,0.9115
562,0.917
563,0.9233
564,0.9319
565,0.9342
566,0.93
567,0.9335
568,0.9287
569,0.9317
570,0.9324
571,0.9279
572,0.9142
573,0.9097
574,0.9007
575,0.8956
576,0.8985
577,0.9086
578,0.8957
579,0.8879
580,0.889
581,0.8959999999999999
582,0.8931
583,0.8863
584,0.8826
585,0.879
586,0.8799
587,0.8962
588,0.9023
589,0.8966
590,0.9027
591,0.8981
592,0.8881
593,0.887
594,0.8917
595,0.8909999999999999
596,0.8862
597,0.8819
598,0.8846
599,0.894
600,0.9039
601,0.8972
602,0.8942
603,0.8965
604,0.9039
605,0.8913
606,0.8883
607,0.8921
